region_id,island,beach_id,beach_name,status,place_id,place_name,formatted_address,distance_m,score,name_score,island_score,flags,google_maps_uri,query
south-aegean-naxos,Naxos,1981,Αγία Άννα,dry_run,,,,,,,,,,"Paralia Αγία Άννα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1982,Αγιασσός,dry_run,,,,,,,,,,"Paralia Αγιασσός, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1983,Άγιοι Θεόδωροι,dry_run,,,,,,,,,,"Paralia Άγιοι Θεόδωροι, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1984,Άγιος Γεώργιος,dry_run,,,,,,,,,,"Paralia Άγιος Γεώργιος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1985,Άγιος Προκόπιος,dry_run,,,,,,,,,,"Paralia Άγιος Προκόπιος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1986,Αζαλάς,dry_run,,,,,,,,,,"Paralia Αζαλάς, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1987,Αλυκό,dry_run,,,,,,,,,,"Paralia Αλυκό, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1988,Αμμίτης,dry_run,,,,,,,,,,"Paralia Αμμίτης, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1989,Άμπραμ,dry_run,,,,,,,,,,"Paralia Άμπραμ, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1990,Απόλλωνας,dry_run,,,,,,,,,,"Paralia Απόλλωνας, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1991,Βίντζι,dry_run,,,,,,,,,,"Paralia Βίντζι, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1992,Γλατζά,dry_run,,,,,,,,,,"Paralia Γλατζά, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1993,Γλυφάδα,dry_run,,,,,,,,,,"Paralia Γλυφάδα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1994,Γρόττα,dry_run,,,,,,,,,,"Paralia Γρόττα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1995,Παραλία Καλαντός,dry_run,,,,,,,,,,"Paralia Παραλία Καλαντός, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1996,Κάμπος,dry_run,,,,,,,,,,"Paralia Κάμπος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1997,Καστράκι,dry_run,,,,,,,,,,"Paralia Καστράκι, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1998,Κέδρος,dry_run,,,,,,,,,,"Paralia Κέδρος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,1999,Κλειδός,dry_run,,,,,,,,,,"Paralia Κλειδός, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2000,Παραλία Κλειδώ,dry_run,,,,,,,,,,"Paralia Παραλία Κλειδώ, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2001,Λιγαρίδια,dry_run,,,,,,,,,,"Paralia Λιγαρίδια, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2002,Παραλία Λιμνάρι,dry_run,,,,,,,,,,"Paralia Παραλία Λιμνάρι, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2003,Λίωνας,dry_run,,,,,,,,,,"Paralia Λίωνας, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2004,Μελινό,dry_run,,,,,,,,,,"Paralia Μελινό, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2005,Μικρά,dry_run,,,,,,,,,,"Paralia Μικρά, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2006,Μικρή Βίγλα,dry_run,,,,,,,,,,"Paralia Μικρή Βίγλα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2007,Μικρή Βίγλα - Νότια πλευρά,dry_run,,,,,,,,,,"Paralia Μικρή Βίγλα - Νότια πλευρά, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2008,Μικρό Αλυκό,dry_run,,,,,,,,,,"Paralia Μικρό Αλυκό, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2009,Μουτσούνα,dry_run,,,,,,,,,,"Paralia Μουτσούνα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2010,Όρκος,dry_run,,,,,,,,,,"Paralia Όρκος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2011,Πάνορμος,dry_run,,,,,,,,,,"Paralia Πάνορμος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2012,Πλάκα,dry_run,,,,,,,,,,"Paralia Πλάκα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2013,Πυργάκι,dry_run,,,,,,,,,,"Paralia Πυργάκι, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2014,Ρίνα,dry_run,,,,,,,,,,"Paralia Ρίνα, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2015,Παραλία Σπεδό,dry_run,,,,,,,,,,"Paralia Παραλία Σπεδό, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2016,Χίλια Βρύση,dry_run,,,,,,,,,,"Paralia Χίλια Βρύση, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2017,Παραλία Ψιλή Άμμος,dry_run,,,,,,,,,,"Paralia Παραλία Ψιλή Άμμος, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2018,Παραλία Ψωφαγριλιά,dry_run,,,,,,,,,,"Paralia Παραλία Ψωφαγριλιά, Naxos, Cyclades, Greece"
south-aegean-naxos,Naxos,2019,Hawaii,dry_run,,,,,,,,,,"Paralia Hawaii, Naxos, Cyclades, Greece"
